,ID,Income,Recency,NumWebVisitsMonth,Complain,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Expenses,NumPurchases,AcceptedCmp,Childrenhome,Age,clusterid
110,5077,77298.0,46,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,969,24,0,1,44,2
112,3267,57288.0,27,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,608,20,1,1,60,2
114,9215,43974.0,19,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,551,21,0,1,43,2
115,2286,50785.0,27,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,114,8,0,2,61,2
117,367,36550.0,74,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,577,20,0,1,45,1
118,5234,30753.0,85,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,81,7,0,2,56,3
119,9862,21918.0,37,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33,7,0,1,54,2
120,9805,56129.0,65,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,660,22,0,1,70,2
121,6205,32557.0,13,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,80,9,0,1,56,1
122,8442,19510.0,63,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,30,6,0,2,38,1
123,7386,30992.0,83,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,43,5,0,1,47,0
125,1491,71488.0,87,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,559,16,0,0,58,3
126,11071,79607.0,37,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1923,16,0,0,39,2
127,3381,54348.0,51,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,8,0,2,70,1
128,8268,52247.25135379061,23,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,404,17,0,1,62,2
129,11051,77376.0,72,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,661,23,0,2,67,3
130,8026,62998.0,10,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,463,19,0,1,71,0
132,9597,73448.0,10,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,725,19,0,0,54,0
133,1295,52247.25135379061,96,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,725,19,0,1,60,0
134,5290,41551.0,51,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,279,16,0,2,59,2
135,1685,62981.0,21,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1482,23,1,0,56,3
137,9579,33762.0,61,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,106,9,0,3,64,2
139,1461,36921.0,74,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,38,7,0,2,58,3
140,821,92859.0,46,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2077,22,0,0,31,1
141,11084,65104.0,4,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1053,17,0,1,47,2
142,8690,86111.0,73,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1385,23,0,0,61,0
143,2937,68352.0,47,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,871,25,0,1,49,1
144,9701,41883.0,13,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,312,12,0,1,35,2
145,9949,59809.0,36,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,877,15,0,2,47,0
146,10837,23957.0,47,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,68,6,0,1,48,0
147,3120,38547.0,49,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22,4,0,1,42,2
148,5885,35688.0,94,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,211,16,0,3,50,1
149,4050,49605.0,65,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,127,8,0,0,57,1
150,3830,59354.0,59,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,459,16,0,2,70,1
151,7987,65747.0,96,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,460,19,1,1,54,0
152,7798,46344.0,28,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,429,17,0,1,51,3
154,7055,61010.0,57,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1021,26,0,1,71,3
156,3025,49967.0,4,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,306,15,0,1,65,2
157,9283,60199.0,49,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18,4,0,3,45,2
158,9970,55375.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,162,9,0,1,46,2
159,2730,80317.0,64,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1231,18,0,0,68,2
160,2795,30523.0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,4,0,3,65,1
161,9260,70356.0,20,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1706,27,0,0,78,2
162,8182,23228.0,91,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,121,11,0,1,39,0
163,10095,74165.0,9,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1293,20,0,0,48,3
165,4370,43482.0,83,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,88,9,0,3,57,2
166,10573,62551.0,27,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,421,18,1,0,70,0
167,3712,52332.0,63,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,259,12,1,0,64,0
168,6637,66951.0,46,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1117,15,0,0,35,2
169,3152,26091.0,84,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,89,9,0,2,66,2
170,5610,33456.0,58,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36,6,0,2,58,2
171,6460,28718.0,78,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,57,7,0,1,41,0
172,1349,50447.0,4,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,148,8,0,2,53,0
173,1880,53537.0,17,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,93,8,0,2,64,3
174,641,52074.0,77,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,119,7,1,1,56,2
175,8717,80427.0,56,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1835,28,0,1,48,2
177,10854,38853.0,90,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,45,7,0,2,53,2
178,10492,38285.0,96,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,4,0,3,64,2
180,7698,51650.0,81,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,191,10,0,1,47,2
181,3559,16248.0,77,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,57,9,0,1,35,1
182,10562,66835.0,21,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1033,24,0,0,77,1
183,10796,30477.0,16,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,66,6,0,1,39,1
184,2563,28249.0,80,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,6,0,0,62,3
185,3518,25271.0,45,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50,5,0,1,40,0
186,5823,32303.0,63,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,39,7,0,1,53,1
187,3934,61286.0,34,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,608,18,0,1,57,0
188,6982,74068.0,14,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1581,24,0,0,47,0
189,6431,45759.0,13,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,68,7,0,2,59,2
191,5602,66973.0,98,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1282,28,0,0,34,3
193,1324,38872.0,93,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,91,8,0,1,35,0
194,326,51148.0,38,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,315,16,0,2,50,0
195,7224,31353.0,24,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,31,6,0,2,46,0
196,6999,69661.0,80,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,834,23,0,0,43,1
197,9938,80067.0,82,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1600,17,1,0,69,0
198,6422,86718.0,20,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1270,17,0,0,69,0
200,7300,69142.0,50,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,535,19,1,1,71,0
201,10424,75922.0,60,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1295,18,0,0,55,2
202,8727,63693.0,63,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1150,29,0,1,45,0
204,1030,40637.0,72,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38,6,0,2,58,1
206,5176,29604.0,88,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53,5,1,1,35,2
207,5552,48721.0,50,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,293,17,0,2,60,0
208,868,44794.0,99,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,65,6,0,1,57,0
210,2677,46097.0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,241,15,0,1,67,2
211,6521,77972.0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1101,20,0,0,69,2
212,6927,44377.0,70,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,264,19,0,2,55,2
213,2877,46014.0,21,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,541,26,0,2,49,2
214,0,70951.0,66,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1198,17,0,0,38,0
215,1584,41443.0,79,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,482,20,0,1,46,0
216,7264,52195.0,2,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17,4,0,3,45,1
219,454,69508.0,48,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1135,28,0,1,43,2
220,1755,45204.0,93,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,114,7,0,1,35,3
221,2075,72460.0,56,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1047,16,0,0,54,0
222,4785,77622.0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,714,22,0,2,53,3
223,9076,30732.0,44,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,185,13,0,1,43,2
224,7079,63887.0,38,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1245,32,0,1,61,0
225,4653,42011.0,46,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,189,12,0,1,45,2
226,7375,51369.0,84,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,576,16,0,1,47,2
227,709,51537.0,27,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1103,18,0,1,71,0
228,460,79930.0,72,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1753,17,0,0,51,2
229,3726,34320.0,66,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17,4,0,1,37,3
230,6798,37070.0,30,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,433,23,0,2,57,2
232,1606,38590.0,65,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22,4,0,1,52,2
233,9617,15033.0,37,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,5,0,0,72,2
234,3233,62745.0,89,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1117,29,0,1,58,2
235,89,22212.0,49,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69,8,0,1,48,1
236,2936,23661.0,46,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23,5,0,1,41,2
237,9449,79761.0,32,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,605,19,0,1,65,1
238,7297,7500.0,54,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,57,11,0,1,50,2
241,9940,64961.0,97,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1009,16,0,1,65,2
242,10735,22804.0,75,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26,5,0,1,52,2
244,6439,61074.0,37,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1102,31,0,1,65,0
245,7411,31686.0,31,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,6,0,2,59,2
247,9265,75027.0,74,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1390,21,0,1,70,0
248,8867,67546.0,90,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2126,20,0,0,35,2
249,8932,65176.0,57,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1531,25,0,1,54,2
250,10236,31160.0,59,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,64,7,0,1,48,1
251,6340,29938.0,52,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26,6,0,1,38,2
253,2227,26490.0,92,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,210,11,0,0,65,3
254,10992,75702.0,77,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1148,26,0,2,56,2
255,5304,30899.0,35,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,33,6,0,1,49,1
256,309,63342.0,48,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1101,19,1,1,62,3
257,3406,45989.0,97,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,322,16,0,1,59,2
258,2661,18701.0,95,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,44,10,0,2,59,2
259,3153,40737.0,24,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,4,0,3,66,1
261,1184,69674.0,46,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,845,25,0,2,55,3
262,4200,44159.0,85,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,275,15,0,1,53,1
263,9396,37717.0,31,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,4,0,1,45,2
264,2387,43776.0,9,8,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,275,17,0,2,71,2
265,6690,38179.0,30,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,11,0,2,57,1
266,1225,80124.0,47,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1495,19,1,0,60,0
267,9703,38097.0,70,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,184,11,1,2,53,2
268,291,72940.0,13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,981,13,0,0,53,0
269,4557,22070.0,11,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,67,8,0,1,53,2
270,2379,69267.0,31,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1635,14,0,0,70,2
271,5726,31788.0,15,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,60,10,0,1,40,1
272,3066,61905.0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,231,12,0,1,48,3
273,6336,29315.0,55,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,48,10,0,2,63,0
274,10967,33378.0,38,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,99,9,0,2,60,0
275,2304,66313.0,86,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,770,23,0,1,60,3
276,3445,60714.0,56,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,957,23,0,0,67,2
277,7828,77882.0,29,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,818,12,0,0,42,2
278,3762,69867.0,30,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,925,17,1,0,37,1
279,4391,63841.0,64,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,908,22,0,1,55,0
280,4669,24480.0,46,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,102,10,0,1,42,3
281,10144,51369.0,84,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,576,16,0,1,47,2
282,8652,37760.0,20,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,317,13,0,0,77,2
283,1672,65640.0,74,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,461,15,0,1,49,3
284,8962,44319.0,18,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,37,7,0,2,48,1
285,9974,30631.0,75,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,70,7,0,1,49,0
